week,date,jour,presence_sdr,nb_call,rdv_obtenu,rdv_vol_nc,rdv_vol_m10,rdv_vol_p10,rdv_deal_m10,rdv_deal_p10,opened,won,lost
2022-W40,2022-10-03,Lundi,2,50,0,0,0,0,0,0,0,0,0
2022-W40,2022-10-04,Mardi,2,92,0,0,0,0,0,0,0,0,0
2022-W40,2022-10-05,Mercredi,2,95,0,0,0,0,0,0,0,0,0
2022-W40,2022-10-06,Jeudi,2,13,4,2,0,2,0,2,0,0,2
2022-W40,2022-10-07,Vendredi,2,78,0,0,0,0,0,0,0,0,0
2022-W41,2022-10-11,Mardi,1,54,0,0,0,0,0,0,0,0,0
2022-W41,2022-10-12,Mercredi,2,30,0,0,0,0,0,0,0,0,0
2022-W41,2022-10-13,Jeudi,2,42,0,0,0,0,0,0,0,0,0
2022-W41,2022-10-14,Vendredi,1,27,0,0,0,0,0,0,0,0,0
2022-W42,2022-10-19,Mercredi,1,37,1,0,1,0,0,0,0,0,0
2022-W42,2022-10-20,Jeudi,1,39,0,0,0,0,0,0,0,0,0
2022-W42,2022-10-21,Vendredi,1,43,2,1,1,0,1,0,1,0,0
2022-W43,2022-10-25,Mardi,1,11,1,0,0,1,0,0,0,0,0
2022-W43,2022-10-26,Mercredi,2,67,1,0,0,1,0,0,0,0,0
2022-W43,2022-10-27,Jeudi,2,45,0,0,0,0,0,0,0,0,0
2022-W43,2022-10-28,Vendredi,2,35,0,0,0,0,0,0,0,0,0
2022-W44,2022-11-02,Mercredi,4,39,1,0,1,0,0,0,0,0,0
2022-W44,2022-11-03,Jeudi,2,54,1,0,0,1,0,0,0,0,0
2022-W44,2022-11-04,Vendredi,2,69,0,0,0,0,0,0,0,0,0
2022-W45,2022-11-07,Lundi,1,25,1,0,1,0,1,0,0,0,1
2022-W45,2022-11-08,Mardi,1,23,0,0,0,0,0,0,0,0,0
2022-W45,2022-11-09,Mercredi,3,61,0,0,0,0,0,0,0,0,0
2022-W45,2022-11-10,Jeudi,3,125,0,0,0,0,0,0,0,0,0
2022-W46,2022-11-14,Lundi,1,54,0,0,0,0,0,0,0,0,0
2022-W46,2022-11-15,Mardi,1,44,3,2,1,0,1,1,1,0,1
2022-W46,2022-11-16,Mercredi,2,73,0,0,0,0,0,0,0,0,0
2022-W46,2022-11-17,Jeudi,2,87,1,1,0,0,0,0,0,0,0
2022-W46,2022-11-18,Vendredi,3,81,0,0,0,0,0,0,0,0,0
2022-W47,2022-11-21,Lundi,2,98,0,0,0,0,0,0,0,0,0
2022-W47,2022-11-22,Mardi,2,77,0,0,0,0,0,0,0,0,0
2022-W47,2022-11-23,Mercredi,3,109,0,0,0,0,0,0,0,0,0
2022-W47,2022-11-24,Jeudi,2,59,0,0,0,0,0,0,0,0,0
2022-W47,2022-11-25,Vendredi,2,80,2,0,0,2,0,0,0,0,0
2022-W48,2022-11-28,Lundi,2,96,0,0,0,0,0,0,0,0,0
2022-W48,2022-11-29,Mardi,3,192,0,0,0,0,0,0,0,0,0
2022-W48,2022-11-30,Mercredi,4,178,1,0,0,1,0,0,0,0,0
2022-W48,2022-12-01,Jeudi,3,86,1,0,0,1,0,0,0,0,0
2022-W48,2022-12-02,Vendredi,3,141,1,1,0,0,0,0,0,0,0
2022-W49,2022-12-05,Lundi,1,54,1,1,0,0,1,0,0,0,1
2022-W49,2022-12-06,Mardi,2,64,1,0,1,0,1,0,0,0,1
2022-W49,2022-12-07,Mercredi,2,95,0,0,0,0,0,0,0,0,0
2022-W49,2022-12-08,Jeudi,2,104,0,0,0,0,0,0,0,0,0
2022-W49,2022-12-09,Vendredi,3,124,1,0,1,0,0,0,0,0,0
2022-W50,2022-12-12,Lundi,1,55,0,0,0,0,0,0,0,0,0
2022-W50,2022-12-13,Mardi,1,49,0,0,0,0,0,0,0,0,0
2022-W50,2022-12-14,Mercredi,2,87,0,0,0,0,0,0,0,0,0
2022-W50,2022-12-15,Jeudi,2,84,0,0,0,0,0,0,0,0,0
2022-W50,2022-12-16,Vendredi,2,73,2,1,0,1,0,0,0,0,0
2022-W51,2022-12-19,Lundi,2,81,0,0,0,0,0,0,0,0,0
2022-W51,2022-12-20,Mardi,2,108,0,0,0,0,0,0,0,0,0
2022-W51,2022-12-21,Mercredi,2,40,0,0,0,0,0,0,0,0,0
2022-W51,2022-12-22,Jeudi,2,26,0,0,0,0,0,0,0,0,0
2022-W51,2022-12-23,Vendredi,2,68,0,0,0,0,0,0,0,0,0
2022-W52,2022-12-27,Mardi,1,32,0,0,0,0,0,0,0,0,0
2022-W52,2022-12-28,Mercredi,2,48,0,0,0,0,0,0,0,0,0
2022-W52,2022-12-29,Jeudi,2,82,0,0,0,0,0,0,0,0,0
2022-W52,2022-12-30,Vendredi,2,59,0,0,0,0,0,0,0,0,0
2023-W1,2023-01-04,Mercredi,1,34,0,0,0,0,0,0,0,0,0
2023-W1,2023-01-05,Jeudi,1,25,1,0,0,1,1,0,0,0,1
2023-W1,2023-01-06,Vendredi,1,25,2,2,0,0,0,0,0,0,0
2023-W2,2023-01-09,Lundi,1,48,1,1,0,0,1,0,1,0,0
2023-W2,2023-01-10,Mardi,1,52,0,0,0,0,0,0,0,0,0
2023-W2,2023-01-11,Mercredi,2,96,0,0,0,0,0,0,0,0,0
2023-W2,2023-01-12,Jeudi,3,130,0,0,0,0,0,0,0,0,0
2023-W2,2023-01-13,Vendredi,3,126,2,1,1,0,0,0,0,0,0
2023-W3,2023-01-16,Lundi,1,49,0,0,0,0,0,0,0,0,0
2023-W3,2023-01-17,Mardi,1,59,0,0,0,0,0,0,0,0,0
2023-W3,2023-01-18,Mercredi,2,60,0,0,0,0,0,0,0,0,0
2023-W3,2023-01-19,Jeudi,3,93,1,0,0,1,0,1,1,0,0
2023-W3,2023-01-20,Vendredi,2,65,1,1,0,0,0,0,0,0,0
2023-W4,2023-01-23,Lundi,1,49,1,0,0,1,0,0,0,0,0
2023-W4,2023-01-24,Mardi,2,99,1,1,0,0,0,0,0,0,0
2023-W4,2023-01-25,Mercredi,2,89,0,0,0,0,0,0,0,0,0
2023-W4,2023-01-26,Jeudi,1,45,0,0,0,0,0,0,0,0,0
2023-W4,2023-01-27,Vendredi,2,28,1,0,0,1,0,0,0,0,0
2023-W5,2023-01-30,Lundi,2,106,2,0,1,1,1,0,1,0,0
2023-W5,2023-01-31,Mardi,4,92,1,1,0,0,0,0,0,0,0
2023-W5,2023-02-01,Mercredi,3,72,1,1,0,0,0,0,0,0,0
2023-W5,2023-02-02,Jeudi,1,41,1,0,0,1,0,0,0,0,0
2023-W5,2023-02-03,Vendredi,1,44,0,0,0,0,0,0,0,0,0
2023-W6,2023-02-06,Lundi,1,48,0,0,0,0,0,0,0,0,0
2023-W6,2023-02-07,Mardi,1,41,0,0,0,0,0,0,0,0,0
2023-W6,2023-02-08,Mercredi,1,53,0,0,0,0,0,0,0,0,0
2023-W6,2023-02-09,Jeudi,3,105,0,0,0,0,0,0,0,0,0
2023-W6,2023-02-10,Vendredi,3,98,1,1,0,0,0,0,0,0,0
2023-W7,2023-02-13,Lundi,2,110,0,0,0,0,0,0,0,0,0
2023-W7,2023-02-14,Mardi,2,87,0,0,0,0,0,0,0,0,0
2023-W7,2023-02-15,Mercredi,3,80,1,1,0,0,0,0,0,0,0
2023-W7,2023-02-16,Jeudi,3,221,5,4,0,1,0,0,0,0,0
2023-W7,2023-02-17,Vendredi,3,74,2,1,0,1,0,1,1,0,0
2023-W8,2023-02-20,Lundi,2,87,2,1,0,1,0,0,0,0,0
2023-W8,2023-02-21,Mardi,2,82,0,0,0,0,0,0,0,0,0
2023-W8,2023-02-22,Mercredi,3,112,0,0,0,0,0,0,0,0,0
2023-W8,2023-02-23,Jeudi,3,105,1,1,0,0,0,0,0,0,0
2023-W8,2023-02-24,Vendredi,3,60,0,0,0,0,0,0,0,0,0
2023-W9,2023-02-27,Lundi,1,39,1,1,0,0,0,0,0,0,0
